time,time,water_level
26/08/2013 08:59,1242000,-0.46
26/08/2013 09:59,1245600,0.34
26/08/2013 10:59,1249200,1
26/08/2013 11:59,1252800,1.32
26/08/2013 12:59,1256400,1.27
26/08/2013 13:59,1260000,0.93
26/08/2013 14:59,1263600,0.39
26/08/2013 15:59,1267200,-0.16
26/08/2013 16:59,1270800,-0.6
26/08/2013 17:59,1274400,-0.88
26/08/2013 18:59,1278000,-0.96
26/08/2013 19:59,1281600,-0.74
26/08/2013 20:59,1285200,-0.26
26/08/2013 21:59,1288800,0.4
26/08/2013 22:59,1292400,0.93
26/08/2013 23:59,1296000,1.22
