Exporting to ../../outputs/5.3D/dx150
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 1313 nodes, 2400 triangles
3D mesh: 6 layers, 14400 prisms
Horizontal element size: 1.00 ... 1.00 m
Vertical element size: 0.900 ... 0.900 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 86400
Number of cores: 8
Tracer DOFs per core: ~10800.0
  - dt 2d swe: 0.004638940161693393
  - dt h. advection: 0.014285714285714193
  - dt v. advection: 22.49999999999989
  - dt viscosity: 0.00999999999999987
  - CFL adjusted dt: 2D: inf 3D: 0.00999999999999987
  - chosen dt: 2D: 0.00999999999999987 3D: 0.00999999999999987
  - adjusted dt: 2D: 0.009995002498750625 3D: 0.009995002498750625
dt = 0.009995
max h diff 0.8337499999999952 - 0.8337500000000025
  169 338169 T=   3380.00 eta norm:     8.3247 u norm:    43.1747 463.38
  170 340170 T=   3400.00 eta norm:     7.9074 u norm:    42.3277 464.08
  171 342171 T=   3420.00 eta norm:     8.3037 u norm:    41.8904 464.35
  172 344172 T=   3440.00 eta norm:     7.2658 u norm:    43.1710 499.59
  173 346173 T=   3460.00 eta norm:     7.9749 u norm:    45.5228 534.75
  174 348174 T=   3480.00 eta norm:     8.2125 u norm:    45.0286 517.41
  175 350175 T=   3500.00 eta norm:     7.7923 u norm:    46.1384 540.34
  176 352176 T=   3520.00 eta norm:     8.1112 u norm:    45.4472 472.24
  177 354177 T=   3540.00 eta norm:     7.5215 u norm:    45.7908 471.48
  178 356178 T=   3560.00 eta norm:     7.9262 u norm:    45.0884 470.63
  179 358179 T=   3580.00 eta norm:     9.4035 u norm:    43.5003 470.93
  180 360180 T=   3600.00 eta norm:     8.1347 u norm:    41.9479 472.45
time cost: 1396.34min
time cost: 1396.34min
time cost: 1396.34min
time cost: 1396.34min
time cost: 1396.34min
time cost: 1396.34min
time cost: 1396.34min
time cost: 1396.34min
