nohup: ignoring input
Exporting to ../../outputs/3d_v1.0
UFL:WARNING Discontinuous Lagrange element requested on triangle * interval, creating DQ element.
Using default SIPG parameters
Coupled time integrator: CoupledTwoStageRK
  2D time integrator: ESDIRKTrapezoid
  3D time integrator: SSPRK22ALE
  3D implicit time integrator: BackwardEuler
2D mesh: 5151 nodes, 10000 triangles
3D mesh: 4 layers, 40000 prisms
Horizontal element size: 1.73 ... 1.73 m
Vertical element size: 10.000 ... 10.000 m
Element family: dg-dg, degree: 1
Number of tracer DOFs: 240000
Number of cores: 8
Tracer DOFs per core: ~30000.0
  - dt 2d swe: 0.0037968434885867356
  - dt h. advection: 0.028867513459481086
  - dt v. advection: 249.9999999999984
  - dt viscosity: 0.029999999999999576
  - CFL adjusted dt: 2D: inf 3D: 0.028867513459481086
  - chosen dt: 2D: 0.028867513459481086 3D: 0.028867513459481086
  - adjusted dt: 2D: 0.02886002886002886 3D: 0.02886002886002886
dt = 0.028860
max h diff 0.8662499999999947 - 0.8662500000000026
    0     0 T=      0.00 eta norm:     0.0000 u norm:     0.0000  0.00
    1   693 T=     20.00 eta norm:    91.5173 u norm:     2.3535 902.69
    2  1386 T=     40.00 eta norm:    94.1786 u norm:     9.3819 920.01
    3  2079 T=     60.00 eta norm:    80.1856 u norm:    19.5296 929.45
  210 145530 T=   4200.00 eta norm:    62.9373 u norm:    53.7147 909.82
  211 146223 T=   4220.00 eta norm:    64.0938 u norm:    53.3206 894.52
  212 146916 T=   4240.00 eta norm:    68.9262 u norm:    53.4893 916.32
  213 147609 T=   4260.00 eta norm:    77.9782 u norm:    52.7903 920.46
  214 148302 T=   4280.00 eta norm:    90.0673 u norm:    53.6327 917.79
  215 148995 T=   4300.00 eta norm:   102.2999 u norm:    54.0178 912.14
  216 149688 T=   4320.00 eta norm:   112.2829 u norm:    53.6990 918.52
  217 150381 T=   4340.00 eta norm:   120.0282 u norm:    54.2981 921.68
  218 151074 T=   4360.00 eta norm:   126.8584 u norm:    54.2496 914.24
  219 151767 T=   4380.00 eta norm:   133.4279 u norm:    54.0395 918.11
  220 152460 T=   4400.00 eta norm:   139.5099 u norm:    55.2169 920.62
  221 153153 T=   4420.00 eta norm:   144.9308 u norm:    54.5559 903.30
  222 153846 T=   4440.00 eta norm:   149.8059 u norm:    55.2644 893.10
  223 154539 T=   4460.00 eta norm:   154.2916 u norm:    55.2594 895.03
  224 155232 T=   4480.00 eta norm:   158.4354 u norm:    55.4151 893.79
  225 155925 T=   4500.00 eta norm:   162.2331 u norm:    55.2153 891.16
  226 156618 T=   4520.00 eta norm:   165.7002 u norm:    55.6158 907.97
  227 157311 T=   4540.00 eta norm:   168.8689 u norm:    55.9565 924.79
  228 158004 T=   4560.00 eta norm:   171.7608 u norm:    55.3400 917.81
  229 158697 T=   4580.00 eta norm:   174.4028 u norm:    55.6031 916.21
  230 159390 T=   4600.00 eta norm:   176.8100 u norm:    55.6695 926.53
  231 160083 T=   4620.00 eta norm:   178.9827 u norm:    56.0987 921.99
  232 160776 T=   4640.00 eta norm:   180.9313 u norm:    56.0715 925.64
  233 161469 T=   4660.00 eta norm:   182.6718 u norm:    55.1888 924.37
  234 162162 T=   4680.00 eta norm:   184.2298 u norm:    55.7968 912.79
  235 162855 T=   4700.00 eta norm:   185.5994 u norm:    55.5145 919.92
  236 163548 T=   4720.00 eta norm:   186.7860 u norm:    56.2129 925.88
  237 164241 T=   4740.00 eta norm:   187.7772 u norm:    56.9794 921.26
  238 164934 T=   4760.00 eta norm:   188.6076 u norm:    56.4515 919.51
  239 165627 T=   4780.00 eta norm:   189.2731 u norm:    55.9319 919.83
  240 166320 T=   4800.00 eta norm:   189.7863 u norm:    56.3331 757.27
time cost: 3678.91min
time cost: 3678.91min
time cost: 3678.91min
time cost: 3678.91min
time cost: 3678.91min
time cost: 3678.91min
time cost: 3678.91min
time cost: 3678.91min
