B5,A5,
-1.311155893,-1.300471239,23/08/2013 22:30
-0.968203288,-0.994911633,23/08/2013 23:00
-0.570074914,-0.630928443,23/08/2013 23:30
-0.146001255,-0.245851519,24/08/2013 00:00
0.281016615,0.142449014,24/08/2013 00:30
0.688705036,0.513286849,24/08/2013 01:00
1.053253439,0.847729683,24/08/2013 01:30
1.351131676,1.132137955,24/08/2013 02:00
1.561877759,1.35480055,24/08/2013 02:30
1.670161385,1.501266252,24/08/2013 03:00
1.667179747,1.554169428,24/08/2013 03:30
1.551431727,1.499351514,24/08/2013 04:00
1.328433565,1.331260148,24/08/2013 04:30
1.008164143,1.054596073,24/08/2013 05:00
0.610086465,0.708402352,24/08/2013 05:30
0.170075701,0.34400314,24/08/2013 06:00
-0.280290473,-0.021458679,24/08/2013 06:30
-0.714784736,-0.381382071,24/08/2013 07:00
-1.107682353,-0.728260998,24/08/2013 07:30
-1.433473684,-1.047837179,24/08/2013 08:00
-1.669823379,-1.320657595,24/08/2013 08:30
-1.799802245,-1.52405496,24/08/2013 09:00
-1.813198445,-1.634527229,24/08/2013 09:30
-1.7081069,-1.631767034,24/08/2013 10:00
-1.492734204,-1.502492654,24/08/2013 10:30
-1.183509804,-1.244824575,24/08/2013 11:00
-0.804160041,-0.901325133,24/08/2013 11:30
-0.386195331,-0.523074546,24/08/2013 12:00
0.046572634,-0.129942325,24/08/2013 12:30
0.472704293,0.258016931,24/08/2013 13:00
0.869107639,0.620151409,24/08/2013 13:30
1.211902196,0.941153076,24/08/2013 14:00
1.479068672,1.209811914,24/08/2013 14:30
1.652644628,1.414068545,24/08/2013 15:00
1.720364463,1.536936137,24/08/2013 15:30
1.676773362,1.561119135,24/08/2013 16:00
1.523536689,1.475432482,24/08/2013 16:30
1.268513658,1.278495538,24/08/2013 17:00
0.923514004,0.981716272,24/08/2013 17:30
0.516217975,0.636966809,24/08/2013 18:00
0.080638514,0.283102542,24/08/2013 18:30
-0.354960803,-0.06871544,24/08/2013 19:00
-0.765999716,-0.412904957,24/08/2013 19:30
-1.127646709,-0.740005871,24/08/2013 20:00
-1.416212441,-1.034147335,24/08/2013 20:30
-1.61214509,-1.27563616,24/08/2013 21:00
-1.701779058,-1.44252827,24/08/2013 21:30
-1.678511095,-1.51360299,24/08/2013 22:00
-1.544332126,-1.472579908,24/08/2013 22:30
-1.310787369,-1.311479056,24/08/2013 23:00
-0.995125908,-1.035887101,24/08/2013 23:30
-0.623562115,-0.696250402,25/08/2013 00:00
